#
# Output Filename: state_params.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   State Parameters Table
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time             MERTIS          MERTIS   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI  SIMBIOSYS_VIHI
ddd_hh:mm:ss          MERTIS_DR      MERTIS_PWR      CURRENT_DR  HRIC_DATA_RATE  VIHI_DATA_RATE      VIHI_POWER
---------------------------------------------------------------------------------------------------------------
002_04:25:10                  0               1           69400            1000              82               1
002_04:29:10                  0               1           69400            1000             102               1
002_04:29:50                  0               1          133340            1000             102               1
002_04:47:10                  0               1           69400            1000             102               1
002_04:47:40                  0               1           69400            1000              82               1
002_04:51:30                  0               1           40420            1000              82               1
002_04:52:30                  0               1           40420            1000             126               1
002_04:56:10                  0               1           15600            1000             126               1
002_05:03:40                  0               1           15600            1000             126               1
002_05:07:10                  0               1               0            1000             126               1
002_06:30:40                  0               1           15600            1000             126               1
002_06:33:30                  0               1           15600            1000             126               1
002_06:39:40                  0               1           15600            1000             126               1
002_06:41:50                  0               1           40420            1000             126               1
002_06:45:50                  0               1           40420            1000              82               1
002_06:46:50                  0               1           69400            1000              82               1
002_06:50:50                  0               1           69400            1000             102               1
002_06:51:30                  0               1          133340            1000             102               1
002_07:08:50                  0               1           69400            1000             102               1
002_07:09:30                  0               1           69400            1000              82               1
002_07:13:20                  0               1           40420            1000              82               1
002_07:14:10                  0               1           40420            1000             126               1
002_07:17:50                  0               1           15600            1000             126               1
002_07:19:50                  0               1           15600            1000             102               1
002_07:23:20                  0               1           15600            1000             182               1
002_07:25:30                  0               1           15600            1000             182               1
002_07:28:50                  0               1               0            1000             182               1
002_08:52:30                  0               1           15600            1000             182               1
002_08:55:10                  0               1           15600            1000             182               1
002_08:57:30                  0               1           15600            1000             102               1
002_09:01:30                  0               1           15600            1000             126               1
002_09:03:30                  0               1           40420            1000             126               1
002_09:07:30                  0               1           40420            1000              82               1
002_09:08:30                  0               1           69400            1000              82               1
002_09:12:40                  0               1           69400            1000             102               1
002_09:13:10                  0               1          133340            1000             102               1
002_09:30:40                  0               1           69400            1000             102               1
002_09:31:10                  0               1           69400            1000              82               1
002_09:35:00                  0               1           40420            1000              82               1
002_09:35:50                  0               1           40420            1000             126               1
002_09:39:40                  0               1           15600            1000             126               1
002_09:47:10                  0               1           15600            1000             126               1
002_09:50:40                  0               1               0            1000             126               1
002_11:14:10                  0               1           15600            1000             126               1
002_11:16:50                  0               1           15600            1000             126               1
